tox_cas_edf_id,tox_chemical_name,tox_recognized,tox_suspected
101-77-9,"4,4'-METHYLENEDIANILINE",cancer,"cardiovascular blood,gastrointestinal liver,immunotoxicity,kidney,neurotoxicity,skin sense"
101-79-1,4-CHLORO-4'-AMINODIPHENYLETHER,,cancer
101-80-4,"4,4'-DIAMINODIPHENYL ETHER",cancer,"cardiovascular blood,endocrine,gastrointestinal liver"
101-84-8,"PHENYL ETHER, VAPOR",,neurotoxicity
101-90-6,DIGLYCIDYL RESORCINOL ETHER (DGRE),cancer,"gastrointestinal liver,immunotoxicity,neurotoxicity,skin sense"
10101-53-8,CHROMIC SULFATE,cancer,
10101-63-0,LEAD IODIDE,"cancer,developmental,reproductive",
10101-97-0,NICKEL (NICKEL SULFATE HEXAHYDRATE),cancer,"cardiovascular blood,gastrointestinal liver,respiratory"
10102-18-8,SODIUM SELENITE (H2O3SE.2NA),,"cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,respiratory"
10102-20-2,SODIUM TELLURITE,,"cardiovascular blood,gastrointestinal liver,neurotoxicity,respiratory"
10102-43-9,NITRIC OXIDE,,"cardiovascular blood,neurotoxicity,respiratory"
10102-44-0,NITROGEN DIOXIDE,,"cardiovascular blood,developmental,endocrine,immunotoxicity,neurotoxicity,reproductive,respiratory,skin sense"
10102-45-1,"NITRIC ACID, THALLIUM(1+) SALT",,gastrointestinal liver
10103-50-1,MAGNESIUM ARSENATE,"cancer,developmental",gastrointestinal liver
10103-61-4,COPPER ARSENATE,"cancer,developmental",
10108-64-2,CADMIUM CHLORIDE,cancer,"cardiovascular blood,developmental,endocrine,gastrointestinal liver,kidney,respiratory"
10118-90-8,MINOCYCLINE,,"kidney,skin sense"
101200-48-0,TRIBENURON METHYL,,"cancer,gastrointestinal liver,kidney"
10124-36-4,CADMIUM SULFATE,cancer,
10124-43-3,COBALT(II) SULFATE (1:1),,neurotoxicity
10124-50-2,POTASSIUM ARSENITE  (ASH3O4.XK),"cancer,developmental","cardiovascular blood,gastrointestinal liver,skin sense"
10124-56-8,sodium hexametaphospate,,neurotoxicity
1014-70-6,SIMETRYNE,,gastrointestinal liver
10182-82-8,MIMOSINE (LEUCENOL),,skin sense
10198-40-0,COBALT-60,cancer,
102-06-7,"1,3-DIFENYLGUANID",,"neurotoxicity,skin sense"
102-54-5,DICYCLOPENTADIENYL IRON,,"endocrine,gastrointestinal liver"
102-71-6,TRIETHANOLAMINE,,"immunotoxicity,respiratory,skin sense"
10210-68-1,COBALT CARBONYL,,"cancer,neurotoxicity,respiratory,skin sense"
10222-01-2,"2,2-DIBROMO-3-NITRILOPROPIONAMIDE",,respiratory
1024-57-3,HEPTACHLOR EPOXIDE,cancer,endocrine
10265-92-6,METHAMIDOPHOS,,"neurotoxicity,skin sense"
10294-33-4,BORON TRIBROMIDE,,"respiratory,skin sense"
10294-40-3,BARIUM CHROMATE,cancer,
103-11-7,"1-HEXANOL, 2-ETHYL-, ACRYLATE",,"immunotoxicity,neurotoxicity,skin sense"
103-16-2,HYDROQUINONE MONOBENZYL ETHER,,skin sense
103-23-1,BIS(2-ETHYLHEXYL) ADIPATE,,"cancer,endocrine"
103-27-5,PHENYL MERCURIC PROPIONATE,developmental,skin sense
103-33-3,AZOBENZENE,cancer,
103-41-3,"2-Propenoic acid, 3-phenyl-, phenylmethyl ester",,neurotoxicity
103-65-1,N-PROPYLBENZENE,,neurotoxicity
103-71-9,PHENYL ISOCYANATE,,immunotoxicity
103-76-4,(BETA-HYDROXYETHYL)PIPERAZINE,,neurotoxicity
103-83-3,DIMETHYLBENZYLAMINE,,"immunotoxicity,neurotoxicity,respiratory"
103-84-4,ACETANILIDE,,"cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,respiratory"
103-90-2,ACETAMINOPHEN,,"cancer,cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
10325-94-7,CADMIUM NITRATE,cancer,
10347-54-3,"1,4-BIS(METHYLISOCYANATE)CYCLOHEXANE",,respiratory
10361-37-2,BARIUM CHLORIDE,,neurotoxicity
10380-28-6,COPPER (11)-8-HYDROXYQUINOLINE,,"endocrine,gastrointestinal liver,neurotoxicity,respiratory"
104-12-1,P-CHLOROPHENYL ISOCYANATE,,"endocrine,respiratory,skin sense"
104-40-5,4-NONYLPHENOL,,endocrine
104-43-8,4-DODECYLPHENOL,,endocrine
104-46-1,1-METHOXY-4-(1-PROPENYL)BENZENE,,neurotoxicity
104-49-4,"1,4-PHENYLENE DIISOCYANATE",,respiratory
104-51-8,1-BUTYLPROPANE,,endocrine
104-55-2,"2-PROPENAL, 3-PHENYL-",,"immunotoxicity,neurotoxicity,skin sense"
104-76-7,"1-HEXANOL, 2-ETHYL-",,"developmental,gastrointestinal liver"
104-78-9,3-AMINOPROPYLDIETHYLAMINE,,"immunotoxicity,skin sense"
104-88-1,"BENZALDEHYDE, P-CHLORO-",,neurotoxicity
104-94-9,P-ANISIDINE,,"cardiovascular blood,skin sense"
10415-75-5,MERCUROUS NITRATE,developmental,gastrointestinal liver
10418-03-8,STANOZOLOL,cancer,
104227-87-4,FAMCICLOVIR,,reproductive
10453-86-8,RESMETHRIN,developmental,"gastrointestinal liver,neurotoxicity"
10476-85-4,STRONTIUM (STABLE STRONTIUM CHLORIDE),,"cardiovascular blood,endocrine,gastrointestinal liver,neurotoxicity"
105-12-4,p-Dinitrosobenzene,,cardiovascular blood
105-16-8,(2-(METHACRYLOYLOXY)ETHYL)DIETHYLAMINE,,skin sense
105-30-6,"1,3-DIMETHYL BUTANOL",,skin sense
105-37-3,ETHYL ESTER PROPANOIC ACID,,respiratory
105-46-4,SEC-BUTYL ACETATE,,neurotoxicity
105-55-5,"N,N'-DIETHYLTHIOUREA",,cancer
105-60-2,CAPROLACTAM,,"immunotoxicity,neurotoxicity,respiratory,skin sense"
105-67-9,"2,4-DIMETHYLPHENOL",,"cardiovascular blood,gastrointestinal liver,kidney,respiratory,skin sense"
10540-29-1,TAMOXIFEN AND ITS SALTS,cancer,skin sense
105512-06-9,CLODINAFOP-PROPARGYL,,cancer
1056,CERAMIC FIBERS  ( AIRBORNE PARTICLES OF RESPIRABLE SIZE),cancer,respiratory
105650-23-5,"PHIP(2-AMINO-1-METHYL-6-PHENYLIMIDAZOL[4,5-B]PYRIDINE",cancer,gastrointestinal liver
105735-71-5,"3,7-DINITROFLUORANTHENE",cancer,
10588-01-9,SODIUM BICHROMATE,cancer,"cardiovascular blood,gastrointestinal liver,immunotoxicity,respiratory,skin sense"
10589-74-9,N-nitroso-N-pentylurea (N-amyl-N-nitrosurea),,"cancer,gastrointestinal liver,skin sense"
10595-95-6,N-NITROSOMETHYLETHYLAMINE,cancer,"gastrointestinal liver,skin sense"
10599-90-3,CHLORAMINE,,"cardiovascular blood,respiratory,skin sense"
106-35-4,ETHYL BUTYL KETONE,,neurotoxicity
106-42-3,P-XYLENE,,"cardiovascular blood,developmental,gastrointestinal liver,immunotoxicity,kidney,neurotoxicity,reproductive,respiratory,skin sense"
106-44-5,P-CRESOL,,"cancer,cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
106-46-7,"1,4-DICHLOROBENZENE",cancer,"cardiovascular blood,developmental,gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
106-47-8,P-CHLOROANILINE,cancer,cardiovascular blood
106-48-9,4-CHLOROPHENOL,,"gastrointestinal liver,neurotoxicity"
106-49-0,P-TOLUIDINE,,"cancer,cardiovascular blood,skin sense"
106-50-3,P-PHENYLENEDIAMINE,,"cardiovascular blood,gastrointestinal liver,immunotoxicity,kidney,neurotoxicity,respiratory,skin sense"
106-51-4,QUINONE,,"neurotoxicity,skin sense"
106-63-8,2-METHYLPROPYL 2-PROPENOATE,,"immunotoxicity,skin sense"
106-87-6,"1-EPOXYETHYL-3,4-EPIXYCYCLOHEXANE",cancer,"endocrine,gastrointestinal liver,immunotoxicity,kidney,neurotoxicity,skin sense"
106-88-7,"1,2-BUTYLENE OXIDE",,"cancer,cardiovascular blood,gastrointestinal liver,respiratory,skin sense"
106-89-8,EPICHLOROHYDRIN,"cancer,reproductive","cardiovascular blood,endocrine,gastrointestinal liver,immunotoxicity,kidney,neurotoxicity,respiratory,skin sense"
106-90-1,GLYCIDYL ACRYLATE,,"immunotoxicity,skin sense"
106-91-2,GLYCIDYL METHACRYLATE,,"immunotoxicity,neurotoxicity,skin sense"
106-92-3,ALLYL GLYCIDYL ETHER;AGE,,"gastrointestinal liver,immunotoxicity,neurotoxicity,respiratory,skin sense"
106-93-4,"1,2-DIBROMOETHANE","cancer,developmental,reproductive","endocrine,gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
106-94-5,1-BROMOPROPANE,,"developmental,reproductive"
106-97-8,BUTANE,,neurotoxicity
106-99-0,"1,3-BUTADIENE","cancer,developmental,reproductive","cardiovascular blood,gastrointestinal liver,neurotoxicity,respiratory,skin sense"
10605-21-7,CARBENDAZIM,,"cancer,endocrine,neurotoxicity,respiratory"
1066,COKE OVEN EMISSIONS,cancer,"gastrointestinal liver,kidney,respiratory,skin sense"
1066-17-7,POLYMYXIN E,,kidney
1066-45-1,TRIMETHYLTIN CHLORIDE,,neurotoxicity
107-02-8,ACROLEIN,,"cancer,cardiovascular blood,developmental,gastrointestinal liver,neurotoxicity,respiratory,skin sense"
107-03-9,1-MERCAPTOPROPANE,,"neurotoxicity,respiratory,skin sense"
107-05-1,ALLYL CHLORIDE,,"cancer,developmental,gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
107-06-2,"1,2-DICHLOROETHANE",cancer,"cardiovascular blood,developmental,gastrointestinal liver,kidney,neurotoxicity,reproductive,respiratory,skin sense"
107-07-3,CHLOROETHANOL,,"gastrointestinal liver,kidney,neurotoxicity,respiratory"
107-11-9,ALLYL AMINE,,"cardiovascular blood,gastrointestinal liver,kidney,respiratory,skin sense"
107-12-0,ETHYL CYANIDE,,"neurotoxicity,respiratory"
107-13-1,ACRYLONITRILE,cancer,"cardiovascular blood,developmental,gastrointestinal liver,immunotoxicity,neurotoxicity,reproductive,respiratory,skin sense"
107-14-2,CHLOROACETONITRILE,,skin sense
107-15-3,ETHYLENEDIAMINE,,"gastrointestinal liver,immunotoxicity,kidney,neurotoxicity,respiratory,skin sense"
107-16-4,FORMALDEHYDE CYANOHYDRIN,,"neurotoxicity,respiratory,skin sense"
107-18-6,ALLYL ALCOHOL,,"cardiovascular blood,gastrointestinal liver,neurotoxicity,respiratory,skin sense"
107-19-7,PROPARGYL ALCOHOL,,"cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,skin sense"
107-20-0,CHLOROACETALDEHYDE,,"respiratory,skin sense"
107-21-1,ETHYLENE GLYCOL,,"cardiovascular blood,developmental,gastrointestinal liver,kidney,neurotoxicity,reproductive,respiratory,skin sense"
107-22-2,"1,2-ETHANEDIAL",,"gastrointestinal liver,immunotoxicity,neurotoxicity,skin sense"
107-27-7,"Mercury, chloroethyl-",,neurotoxicity
107-30-2,CHLOROMETHYL METHYL ETHER,cancer,"cardiovascular blood,respiratory,skin sense"
107-31-3,METHYL FORMATE,,"cardiovascular blood,neurotoxicity,respiratory"
107-41-5,HEXYLENE GLYCOL,,"gastrointestinal liver,immunotoxicity,neurotoxicity,respiratory,skin sense"
107-44-8,SARIN,,"gastrointestinal liver,neurotoxicity,respiratory,skin sense"
107-46-0,BIS(TRIMETHYLSILYL) OXIDE,,neurotoxicity
107-49-3,TEPP,,"gastrointestinal liver,neurotoxicity"
107-66-4,DIBUTYL PHOSPHATE,,neurotoxicity
107-87-9,METHYL PROPYL KETONE,,"gastrointestinal liver,neurotoxicity,skin sense"
107-92-6,BUTYRIC ACID,,"gastrointestinal liver,skin sense"
107-98-2,PROPYLENE GLYCOL MONOMETHYL ETHER,,"gastrointestinal liver,kidney,neurotoxicity,reproductive,skin sense"
1070-70-8,TETRAMETHYLENE DIACRYLATE,,"immunotoxicity,skin sense"
1071-39-2,DIISOPROPYL MERCURY,developmental,
1071-83-6,GLYPHOSATE,,"cardiovascular blood,gastrointestinal liver,neurotoxicity,reproductive,respiratory"
1073,CYANIDE COMPOUNDS,,"cardiovascular blood,endocrine,neurotoxicity,respiratory,skin sense"
107534-96-3,TEBUCONAZOLE (FOLICUR),,cancer
108-01-0,(2-HYDROXYETHYL)DIMETHYLAMINE,,"neurotoxicity,respiratory,skin sense"
108-03-2,1-NITROPROPANE,,"neurotoxicity,skin sense"
108-05-4,VINYL ACETATE,,"cancer,neurotoxicity,respiratory,skin sense"
108-10-1,METHYL ISOBUTYL KETONE,,"developmental,gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
108-11-2,METHYL ISOBUTYL CARBINOL,,neurotoxicity
108-18-9,DIISOPROPYLAMINE,,"gastrointestinal liver,immunotoxicity,neurotoxicity,respiratory,skin sense"
108-20-3,DIISOPROPYL ETHER,,neurotoxicity
108-21-4,ISOPROPYL ACETATE,,"neurotoxicity,respiratory"
108-24-7,ACETIC ANHYDRIDE,,"respiratory,skin sense"
108-31-6,MALEIC ANHYDRIDE,,"immunotoxicity,respiratory,skin sense"
108-38-3,M-XYLENE,,"cardiovascular blood,developmental,gastrointestinal liver,immunotoxicity,kidney,neurotoxicity,respiratory,skin sense"
108-39-4,M-CRESOL,,"cancer,cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
108-42-9,1-AMINO-3-CHLOROBENZENE,,cardiovascular blood
108-44-1,M-TOLUIDINE,,cardiovascular blood
108-45-2,M-PHENYLENEDIAMINE,,"gastrointestinal liver,immunotoxicity,skin sense"
108-46-3,RESORCINOL,,"cardiovascular blood,endocrine,immunotoxicity,neurotoxicity,skin sense"
108-60-1,BIS(2-CHLORO-1-METHYLETHYL) ETHER,cancer,neurotoxicity
108-62-3,METACETALDEHYDE,,neurotoxicity
108-67-8,MESITYLENE,,"neurotoxicity,respiratory"
108-68-9,"1,3,5-XYLENOL",,"neurotoxicity,respiratory"
108-77-0,"1,3,5-TRIAZINE, 2,4,6-TRICHLORO-",,neurotoxicity
108-78-1,"1,3,5-TRIAZINE-2,4,6(1H,3H,5H)-TRIIMINE",,"kidney,reproductive"
108-80-5,CYANURIC ACID,,gastrointestinal liver
108-83-8,"DIISOBUTYL KETONE;2,6-DIMETHYL-4-HEPTONE",,"gastrointestinal liver,neurotoxicity,skin sense"
108-84-9,"1,3-DIMETHYLBUTYL ACETATE",,"neurotoxicity,respiratory,skin sense"
108-86-1,BROMOBENZENE,,"gastrointestinal liver,kidney"
108-87-2,METHYLCYCLOHEXANE,,neurotoxicity
108-88-3,TOLUENE,developmental,"cardiovascular blood,gastrointestinal liver,immunotoxicity,kidney,neurotoxicity,reproductive,respiratory,skin sense"
108-90-7,CHLOROBENZENE,,"cardiovascular blood,developmental,gastrointestinal liver,kidney,musculoskeletal,neurotoxicity,reproductive,skin sense"
108-91-8,CYCLOHEXYLAMINE,,"cardiovascular blood,immunotoxicity,neurotoxicity,reproductive,respiratory,skin sense"
108-93-0,CYCLOHEXANOL,,"cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,reproductive,respiratory,skin sense"
108-94-1,CYCLOHEXANONE,,"developmental,immunotoxicity,neurotoxicity,respiratory,skin sense"
108-95-2,PHENOL,,"cardiovascular blood,developmental,gastrointestinal liver,kidney,neurotoxicity,reproductive,respiratory,skin sense"
108-98-5,BENZENETHIOL,,"neurotoxicity,respiratory,skin sense"
1080,DIBENZOFURANS (CHLORINATED),cancer,"cardiovascular blood,developmental,endocrine,gastrointestinal liver,reproductive,respiratory,skin sense"
108171-26-2,"CHLORINATED PARAFINS (AVERAGE CHAIN LENGTH, C12;   APPROXIMATELY 60 PERCENT CHLORINE BY WEIGHT)",cancer,"endocrine,gastrointestinal liver"
108278-70-2,N-(2-methoxyethyl)-N-nitrosourea,,cancer
1085-98-9,DICHLOFLUANID,,"immunotoxicity,skin sense"
109-02-4,4-Methylmorpholine,,respiratory
109-06-8,2-METHYLPYRIDINE,,neurotoxicity
109-09-1,2-CHLOROPYRIDINE,,"gastrointestinal liver,neurotoxicity"
109-16-0,"METHACRYLIC ACID, DIESTER WITH TRIETHYLENE GLYCOL",,"immunotoxicity,neurotoxicity,respiratory,skin sense"
109-17-1,Tetraethylene glycol dimethacrylate,,"immunotoxicity,skin sense"
109-55-7,"1,3-PROPANEDIAMINE, N,N-DIMETHYL-",,"immunotoxicity,respiratory,skin sense"
109-59-1,ISOPROPOXYETHANOL,,"kidney,neurotoxicity,reproductive"
109-60-4,N-PROPYL ACETATE,,"neurotoxicity,respiratory,skin sense"
109-66-0,PENTANE,,neurotoxicity
109-73-9,BUTYLAMINE,,"respiratory,skin sense"
109-74-0,1-CYANOPROPANE,,"neurotoxicity,respiratory"
109-77-3,MALONONITRILE,,"gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
109-79-5,1-BUTANETHIOL,,"neurotoxicity,respiratory,skin sense"
109-86-4,ETHYLENE GLYCOL MONOMETHYL ETHER,"developmental,reproductive","cardiovascular blood,endocrine,gastrointestinal liver,kidney,neurotoxicity,respiratory"
109-87-5,DIMETHOXYMETHANE,,neurotoxicity
109-89-7,DIETHYLAMINE,,"immunotoxicity,neurotoxicity,respiratory,skin sense"
109-94-4,ETHYL FORMATE,,"neurotoxicity,skin sense"
109-99-9,TETRAHYDROFURAN,,"cardiovascular blood,developmental,endocrine,gastrointestinal liver,neurotoxicity,respiratory"
1090,ENVIRONMENTAL TOBACCO SMOKE,cancer,respiratory
1091,EPOXY RESINS,,"immunotoxicity,respiratory,skin sense"
110-00-9,FURAN,cancer,"cardiovascular blood,gastrointestinal liver,kidney,respiratory"
110-02-1,THIOPHENE,,"endocrine,gastrointestinal liver"
110-12-3,METHYL ISOAMYL KETONE,,neurotoxicity
110-16-7,MALEIC ACID,,"kidney,neurotoxicity"
110-19-0,ISOBUTYL ACETATE,,neurotoxicity
110-26-9,"N,N'-METHYLENEBISACRYLAMIDE",,"reproductive,respiratory"
110-43-0,METHYL N-AMYL KETONE,,neurotoxicity
110-44-1,"(E,E)-2,4-HEXADIENOIC ACID",,skin sense
110-49-6,ETHYLENE GLYCOL MONOMETHYL ETHER ACETATE,"developmental,reproductive","gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
110-54-3,N-HEXANE,,"developmental,neurotoxicity,reproductive,respiratory"
110-61-2,"1,2-DICYANOETHANE",,"neurotoxicity,respiratory"
110-63-4,"1,4-BD",,"cardiovascular blood,neurotoxicity"
110-65-6,"1,4-BUTINODIOL",,"cardiovascular blood,neurotoxicity,respiratory"
110-66-7,1-Pentanethiol,,respiratory
110-71-4,ETHYLENE GLYCOL DIMETHYL ETHER,,developmental
110-74-7,PROPYL FORMATE,,neurotoxicity
110-80-5,ETHYLENE GLYCOL MONOETHYL ETHER,"developmental,reproductive","cardiovascular blood,endocrine,kidney,neurotoxicity,respiratory"
110-82-7,CYCLOHEXANE,,neurotoxicity
110-83-8,CYCLOHEXENE,,neurotoxicity
110-85-0,"1,4-DIAZACYCLOHEXANE",,"gastrointestinal liver,neurotoxicity"
110-86-1,PYRIDINE,cancer,"gastrointestinal liver,immunotoxicity,neurotoxicity,respiratory,skin sense"
110-89-4,PIPERIDINE,,"cardiovascular blood,kidney"
110-91-8,MORPHOLINE,,"gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
11056-06-7,BLEOMYCIN,,"cancer,skin sense"
11070-44-3,"1,3-ISOBENZOFURANDIONE, TETRAHYDROMETHYL-",,immunotoxicity
11096-82-5,AROCLOR 1260,"cancer,developmental","endocrine,gastrointestinal liver,neurotoxicity"
11097-69-1,AROCLOR 1254,"cancer,developmental","cardiovascular blood,endocrine,gastrointestinal liver,immunotoxicity,neurotoxicity,reproductive,skin sense"
111-15-9,ETHYLENE GLYCOL MONOETHYL ETHER ACETATE,"developmental,reproductive","kidney,neurotoxicity"
111-20-6,"1,10-DECANEDIOIC ACID",,neurotoxicity
111-29-5,"1,5-Pentanediol",,neurotoxicity
111-30-8,GLUTARALDHYDE,,"developmental,immunotoxicity,reproductive,respiratory,skin sense"
111-31-9,1-Hexanethiol,,"neurotoxicity,respiratory,skin sense"
111-36-4,N-BUTYL ISOCYANATE,,"neurotoxicity,respiratory"
111-40-0,DIETHYLENETRIAMINE,,"immunotoxicity,respiratory,skin sense"
111-41-1,(2-AMINOETHYL)ETHANOLAMINE,,"immunotoxicity,respiratory,skin sense"
111-42-2,DIETHANOLAMINE,,"cancer,cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
111-44-4,BIS(2-CHLOROETHYL) ETHER,cancer,"neurotoxicity,respiratory,skin sense"
111-46-6,DIETHYLENE GLYCOL ETHER,,"cardiovascular blood,developmental,gastrointestinal liver,kidney,neurotoxicity,reproductive,respiratory"
111-55-7,"1,2-DIACETOXYETHANE",,gastrointestinal liver
111-65-9,OCTANE,,neurotoxicity
111-69-3,ADIPONITRILE,,"neurotoxicity,respiratory"
111-70-6,1-HEPTANOL,,respiratory
111-71-7,ALDEHYDE C-7,,neurotoxicity
111-76-2,ETHYLENE GLYCOL MONOBUTYL ETHER,,"cardiovascular blood,developmental,endocrine,gastrointestinal liver,kidney,neurotoxicity,reproductive,respiratory,skin sense"
111-77-3,DIETHYLENE GLYCOL MONOMETHYL ETHER,,"developmental,endocrine,gastrointestinal liver,kidney,neurotoxicity"
111-84-2,NONANE,,neurotoxicity
111-88-6,1-MERCAPTOOCTANE,,respiratory
111-90-0,DIETHYLENE GLYCOL MONOETHYL ETHER,,"cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity"
111-91-1,BIS(2-CHLOROETHOXY)METHANE,,skin sense
111-92-2,"1-BUTANAMINE, N-BUTYL-",,immunotoxicity
111-94-4,"3,3'-IMINODIPROPIONITRILE",,neurotoxicity
111-96-6,DIETHYLENE GLYCOL DIMETHYL ETHER,,developmental
1110,GASOLINE VAPORS,,"neurotoxicity,respiratory"
11100-14-4,AROCLOR 1268,"cancer,developmental",
11103-86-9,POTASSIUM ZINC CHROMATE HYDROXIDE,cancer,
11104-28-2,AROCLOR 1221,"cancer,developmental",
1111,GLASSWOOL (MAN-MADE FIBERS),,cancer
11113-70-5,CHROMIUM LEAD SILICATE,"cancer,developmental,reproductive",
11120-22-2,LEAD SILICATE,"cancer,developmental,reproductive",
11133-98-5,BERYLLIUM COPPER ALLOY,cancer,respiratory
1114-71-2,PEBULATE,,neurotoxicity
111406-87-2,Zileuton,"cancer,developmental,reproductive",
